,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none,math score,reading score,writing score
0,False,True,False,False,False,False,False,True,False,True,72,72,74
1,False,False,False,False,True,False,False,True,True,False,69,90,88
2,False,False,False,True,False,False,False,True,False,True,90,95,93
3,True,False,False,False,False,False,True,False,False,True,47,57,44
4,False,False,False,False,True,False,False,True,False,True,76,78,75
5,True,False,False,False,False,False,False,True,False,True,71,83,78
6,False,False,False,False,True,False,False,True,True,False,88,95,92
7,False,False,False,False,True,False,True,False,False,True,40,43,39
8,False,False,True,False,False,False,True,False,True,False,64,64,67
9,False,False,True,False,False,False,True,False,False,True,38,60,50
10,True,False,False,False,False,False,False,True,False,True,58,54,52
11,True,False,False,False,False,False,False,True,False,True,40,52,43
12,False,False,True,False,False,False,False,True,False,True,65,81,73
13,False,False,False,False,True,False,False,True,True,False,78,72,70
14,False,False,False,True,False,False,False,True,False,True,50,53,58
15,False,False,False,False,False,True,False,True,False,True,69,75,78
16,False,False,True,False,False,False,False,True,False,True,88,89,86
17,False,False,False,False,False,True,True,False,False,True,18,32,28
18,False,False,False,True,False,False,True,False,True,False,46,42,46
19,True,False,False,False,False,False,True,False,False,True,54,58,61
20,False,False,True,False,False,False,False,True,False,True,66,69,63
21,False,False,False,False,True,False,True,False,True,False,65,75,70
22,False,False,False,False,True,False,False,True,False,True,44,54,53
23,False,False,False,False,False,True,False,True,False,True,69,73,73
24,False,True,False,False,False,False,True,False,True,False,74,71,80
25,False,False,False,True,False,False,True,False,False,True,73,74,72
26,False,False,False,False,True,False,False,True,False,True,69,54,55
27,False,True,False,False,False,False,False,True,False,True,67,69,75
28,False,False,True,False,False,False,False,True,False,True,70,70,65
29,False,False,False,True,False,False,False,True,False,True,62,70,75
30,False,False,False,False,True,False,False,True,False,True,69,74,74
31,False,False,False,False,True,False,False,True,False,True,63,65,61
32,False,False,False,True,False,False,True,False,False,True,56,72,65
33,False,False,False,False,True,False,False,True,False,True,40,42,38
34,False,False,False,False,True,False,False,True,False,True,97,87,82
35,True,False,False,False,False,False,False,True,True,False,81,81,79
